@RELATION house
@ATTRIBUTE size NUMERIC
@ATTRIBUTE land NUMERIC
@ATTRIBUTE rooms NUMERIC
@ATTRIBUTE granite NUMERIC
@ATTRIBUTE extra_bathroom NUMERIC
@ATTRIBUTE class {-1,+1}
@DATA
0,0,0.021166,0.295933,0,+1
-1.640204,-1.273897,-0.585057,-1.456086,-4.507506,-1
0,-0.904667,0.614485,0.949993,4.507506,+1
1.640204,2.178564,-0.630475,-0.850501,-0.059926,-1
0,0,-0.070296,-0.898977,0.059926,+1
0,0,-0.010313,0,0.059926,+1
-0.959095,-1.273897,0.498955,0.109187,-0.157817,+1
-0.959095,-1.273897,0.084157,-0.951474,-0.157817,+1
0,0,0.191169,0.223587,0.897759,+1
1.951198,2.591635,0.109694,0.584562,1.525059,+1
0,0,-0.350927,1.049226,0,-1
0,0,0.883924,-0.283537,0,-1
0,0,-3.460139,0.283537,0,+1
0,0,2.714115,-1.341525,-0.059618,+1
0,0,0.683214,1.057988,0.059618,-1
-1.951198,0,-0.441968,-0.903077,0,+1
0,2.591635,0.329082,0.670762,2.422818,+1
0,1.072507,-0.536928,-1.085738,-0.510458,-1
0,0,1.107734,1.334887,0.543675,+1
0,0,-0.755104,0,0,+1
-2.6856,0,-1.918273,-1.326954,-1.93335,-1
0,0,2.649085,1.326954,1.822873,+1
0,-3.567089,-0.940009,-3.058451,-0.055239,-1
2.6856,3.567089,-3.3069,-1.305328,0.165716,+1
0,0,-4.755424,-2.803523,0,+1
